Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8
0.5428571428571428,0.6216216216216216,0.54,0.8798646362098139,0.5668789808917197,0.7824561403508772,0.6571428571428571,0.5498338870431894
0.5714285714285714,0.6216216216216216,0.58,0.8578680203045685,0.5764331210191083,0.45964912280701753,0.6285714285714286,0.5598006644518272
0.6857142857142857,0.6216216216216216,0.56,0.868020304568528,0.5955414012738853,0.49473684210526314,0.5428571428571428,0.5149501661129569
0.5714285714285714,0.7027027027027027,0.64,0.934010152284264,0.7786624203821656,0.45964912280701753,0.5371428571428571,0.6810631229235881
0.5714285714285714,0.6756756756756757,0.58,0.8291032148900169,0.5955414012738853,0.5719298245614035,0.7114285714285714,0.5697674418604651
0.5714285714285714,0.5945945945945946,0.56,0.9137055837563451,0.6990445859872612,0.5719298245614035,0.56,0.8023255813953488
0.6,0.7297297297297297,0.6,0.9204737732656514,0.7054140127388535,0.5087719298245614,0.5371428571428571,0.7259136212624585
0.6,0.7027027027027027,0.62,0.9153976311336718,0.7054140127388535,0.7087719298245614,0.6171428571428571,0.8255813953488372
0.6285714285714286,0.7837837837837838,0.6,0.883248730964467,0.7770700636942676,0.47368421052631576,0.5628571428571428,0.8305647840531561
0.6,0.7297297297297297,0.66,0.8595600676818951,0.697452229299363,0.519298245614035,0.5628571428571428,0.6943521594684385
0.4857142857142857,0.5675675675675675,0.56,0.8003384094754653,0.7515923566878981,0.47719298245614034,0.5742857142857143,0.739202657807309
0.42857142857142855,0.7297297297297297,0.5,0.922165820642978,0.7197452229299363,0.6842105263157895,0.5342857142857143,0.8023255813953488
0.5714285714285714,0.7027027027027027,0.54,0.8900169204737732,0.7117834394904459,0.32280701754385965,0.6314285714285715,0.6727574750830565
0.5428571428571428,0.6756756756756757,0.5,0.817258883248731,0.7595541401273885,0.6421052631578947,0.6,0.8122923588039868
0.5142857142857142,0.6486486486486487,0.62,0.8764805414551607,0.6194267515923567,0.7263157894736842,0.5628571428571428,0.6245847176079734
0.6285714285714286,0.5405405405405406,0.58,0.8510998307952623,0.8105095541401274,0.8105263157894737,0.6771428571428572,0.6362126245847176
0.6285714285714286,0.6486486486486487,0.7,0.9187817258883249,0.8168789808917197,0.5017543859649123,0.64,0.7691029900332226
0.5714285714285714,0.6756756756756757,0.62,0.9390862944162437,0.8343949044585988,0.4982456140350877,0.6142857142857143,0.8554817275747508
0.6,0.6756756756756757,0.62,0.8595600676818951,0.8439490445859873,0.543859649122807,0.7428571428571429,0.7641196013289037
0.5428571428571428,0.7027027027027027,0.68,0.9103214890016921,0.821656050955414,0.5228070175438596,0.5571428571428572,0.8255813953488372
0.6,0.6216216216216216,0.64,0.7732656514382402,0.8901273885350318,0.5649122807017544,0.7028571428571428,0.8388704318936877
0.6,0.5945945945945946,0.72,0.8121827411167513,0.8407643312101911,0.4982456140350877,0.6742857142857143,0.6943521594684385
0.6,0.6216216216216216,0.72,0.9289340101522843,0.8248407643312102,0.6842105263157895,0.6057142857142858,0.7342192691029901
0.5428571428571428,0.6756756756756757,0.6,0.9255499153976311,0.804140127388535,0.656140350877193,0.6257142857142857,0.7624584717607974
0.5714285714285714,0.6486486486486487,0.54,0.8409475465313029,0.7818471337579618,0.48771929824561405,0.5885714285714285,0.6910299003322259
0.5428571428571428,0.6756756756756757,0.6,0.8849407783417935,0.7882165605095541,0.5614035087719298,0.66,0.7790697674418605
0.5714285714285714,0.6486486486486487,0.56,0.8866328257191202,0.7802547770700637,0.6736842105263158,0.5857142857142857,0.8388704318936877
0.45714285714285713,0.5945945945945946,0.54,0.871404399323181,0.7515923566878981,0.4666666666666667,0.6142857142857143,0.7126245847176079
