Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8
0.6,0.6216216216216216,0.44,0.9018612521150592,0.6130573248407644,0.8,0.5914285714285714,0.6710963455149501
0.6285714285714286,0.6216216216216216,0.48,0.8967851099830795,0.589171974522293,0.7789473684210526,0.6,0.6661129568106312
0.5428571428571428,0.6756756756756757,0.48,0.9069373942470389,0.5621019108280255,0.7789473684210526,0.6657142857142857,0.6777408637873754
0.5428571428571428,0.6486486486486487,0.5,0.9035532994923858,0.5238853503184714,0.7614035087719299,0.6028571428571429,0.6794019933554817
0.5142857142857142,0.5945945945945946,0.54,0.9069373942470389,0.5414012738853503,0.7824561403508772,0.5971428571428572,0.8006644518272426
0.5428571428571428,0.5945945945945946,0.5,0.9153976311336718,0.5429936305732485,0.7649122807017544,0.5457142857142857,0.845514950166113
0.4857142857142857,0.5675675675675675,0.5,0.9170896785109983,0.5509554140127388,0.4842105263157895,0.56,0.8338870431893688
0.45714285714285713,0.5405405405405406,0.54,0.9272419627749577,0.5796178343949044,0.7719298245614035,0.5971428571428572,0.8787375415282392
0.4857142857142857,0.5405405405405406,0.46,0.922165820642978,0.5238853503184714,0.5403508771929825,0.5942857142857143,0.8338870431893688
0.5428571428571428,0.5405405405405406,0.48,0.9086294416243654,0.5509554140127388,0.8280701754385965,0.6057142857142858,0.7259136212624585
0.5428571428571428,0.5945945945945946,0.48,0.9103214890016921,0.5398089171974523,0.7649122807017544,0.6114285714285714,0.8272425249169435
0.5428571428571428,0.5945945945945946,0.5,0.9170896785109983,0.589171974522293,0.7789473684210526,0.6542857142857142,0.813953488372093
0.5142857142857142,0.5675675675675675,0.5,0.9069373942470389,0.5557324840764332,0.7964912280701755,0.68,0.7857142857142857
0.5142857142857142,0.5405405405405406,0.56,0.9204737732656514,0.5509554140127388,0.7894736842105263,0.6114285714285714,0.6843853820598007
0.5428571428571428,0.5675675675675675,0.44,0.8934010152284264,0.552547770700637,0.8421052631578947,0.5828571428571429,0.659468438538206
0.4857142857142857,0.5945945945945946,0.48,0.8950930626057529,0.6114649681528662,0.8631578947368421,0.64,0.6196013289036545
0.5428571428571428,0.6756756756756757,0.48,0.9052453468697124,0.5477707006369427,0.5684210526315789,0.5685714285714286,0.6445182724252492
0.5428571428571428,0.5675675675675675,0.48,0.9052453468697124,0.5334394904458599,0.8421052631578947,0.6028571428571429,0.6528239202657807
0.5142857142857142,0.6486486486486487,0.48,0.9018612521150592,0.5621019108280255,0.5754385964912281,0.5885714285714285,0.5714285714285714
0.5142857142857142,0.5675675675675675,0.46,0.9052453468697124,0.554140127388535,0.5614035087719298,0.5657142857142857,0.845514950166113
0.4857142857142857,0.6486486486486487,0.48,0.9001692047377327,0.5955414012738853,0.5614035087719298,0.5914285714285714,0.8438538205980066
0.4857142857142857,0.5675675675675675,0.48,0.9052453468697124,0.552547770700637,0.6070175438596491,0.5914285714285714,0.8870431893687708
0.4857142857142857,0.5675675675675675,0.48,0.9069373942470389,0.5318471337579618,0.7578947368421053,0.5685714285714286,0.8338870431893688
0.5714285714285714,0.5675675675675675,0.48,0.9170896785109983,0.5684713375796179,0.5333333333333333,0.5542857142857143,0.7558139534883721
0.5714285714285714,0.5675675675675675,0.5,0.9035532994923858,0.5684713375796179,0.5403508771929825,0.5428571428571428,0.7558139534883721
0.4857142857142857,0.6216216216216216,0.5,0.9086294416243654,0.5652866242038217,0.8245614035087719,0.5942857142857143,0.8156146179401993
0.5428571428571428,0.6486486486486487,0.5,0.9086294416243654,0.5668789808917197,0.5578947368421052,0.6028571428571429,0.686046511627907
0.45714285714285713,0.5405405405405406,0.5,0.9187817258883249,0.5318471337579618,0.8140350877192982,0.62,0.7009966777408638
