Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8
0.6285714285714286,0.6486486486486487,0.54,0.8206429780033841,0.6496815286624203,0.8,0.64,0.7259136212624585
0.6571428571428571,0.7027027027027027,0.44,0.5702199661590525,0.5955414012738853,0.519298245614035,0.6342857142857142,0.6893687707641196
0.6,0.6756756756756757,0.42,0.7495769881556683,0.6210191082802548,0.5263157894736842,0.7114285714285714,0.4700996677740864
0.5428571428571428,0.6216216216216216,0.48,0.5380710659898477,0.571656050955414,0.7157894736842105,0.56,0.7475083056478405
0.6285714285714286,0.6486486486486487,0.52,0.5854483925549916,0.589171974522293,0.5263157894736842,0.6314285714285715,0.8338870431893688
0.7142857142857143,0.6756756756756757,0.58,0.9390862944162437,0.6385350318471338,0.4842105263157895,0.6028571428571429,0.5913621262458472
0.5142857142857142,0.6756756756756757,0.52,0.937394247038917,0.5143312101910829,0.5614035087719298,0.6314285714285715,0.6943521594684385
0.6571428571428571,0.6756756756756757,0.62,0.505922165820643,0.589171974522293,0.543859649122807,0.5742857142857143,0.5697674418604651
0.5714285714285714,0.5945945945945946,0.58,0.7580372250423012,0.5828025477707006,0.519298245614035,0.5028571428571429,0.7508305647840532
0.6285714285714286,0.7027027027027027,0.52,0.8527918781725888,0.5652866242038217,0.8105263157894737,0.46285714285714286,0.7441860465116279
0.4857142857142857,0.5405405405405406,0.54,0.8764805414551607,0.46496815286624205,0.8280701754385965,0.5114285714285715,0.4983388704318937
0.5428571428571428,0.6486486486486487,0.52,0.688663282571912,0.5031847133757962,0.7192982456140351,0.5428571428571428,0.7541528239202658
0.5428571428571428,0.5405405405405406,0.56,0.48392554991539766,0.5461783439490446,0.7964912280701755,0.52,0.4634551495016611
0.5428571428571428,0.6216216216216216,0.52,0.8121827411167513,0.5270700636942676,0.7614035087719299,0.49714285714285716,0.659468438538206
0.6285714285714286,0.5675675675675675,0.52,0.856175972927242,0.5398089171974523,0.7824561403508772,0.7485714285714286,0.6262458471760798
0.45714285714285713,0.7567567567567568,0.48,0.6142131979695431,0.5907643312101911,0.7824561403508772,0.5657142857142857,0.5614617940199336
0.45714285714285713,0.6216216216216216,0.5,0.8121827411167513,0.589171974522293,0.8035087719298246,0.6285714285714286,0.5697674418604651
0.6285714285714286,0.7567567567567568,0.54,0.7918781725888325,0.6035031847133758,0.5508771929824562,0.6714285714285714,0.6777408637873754
0.6,0.5945945945945946,0.54,0.8764805414551607,0.47929936305732485,0.8,0.52,0.6993355481727574
0.6,0.5675675675675675,0.58,0.8494077834179357,0.5668789808917197,0.5543859649122806,0.5542857142857143,0.7441860465116279
0.5428571428571428,0.7027027027027027,0.52,0.4754653130287648,0.7738853503184714,0.656140350877193,0.6085714285714285,0.5415282392026578
0.5714285714285714,0.6756756756756757,0.62,0.5042301184433164,0.6050955414012739,0.7368421052631579,0.6171428571428571,0.6495016611295681
0.6,0.7027027027027027,0.5,0.883248730964467,0.46496815286624205,0.7403508771929824,0.5142857142857142,0.6029900332225914
0.5428571428571428,0.6486486486486487,0.54,0.9001692047377327,0.4968152866242038,0.7298245614035088,0.5028571428571429,0.7209302325581395
0.6,0.40540540540540543,0.62,0.6666666666666666,0.6369426751592356,0.7368421052631579,0.5685714285714286,0.6312292358803987
0.5142857142857142,0.5405405405405406,0.54,0.7648054145516074,0.49363057324840764,0.7473684210526316,0.5057142857142857,0.7325581395348837
0.5142857142857142,0.5405405405405406,0.6,0.8460236886632826,0.5828025477707006,0.45614035087719296,0.5971428571428572,0.6196013289036545
0.5428571428571428,0.6486486486486487,0.52,0.8392554991539763,0.5191082802547771,0.6035087719298246,0.5742857142857143,0.4750830564784053
