Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8
0.6285714285714286,0.6216216216216216,0.62,0.9103214890016921,0.8184713375796179,0.5298245614035088,0.5942857142857143,0.5780730897009967
0.6285714285714286,0.7297297297297297,0.68,0.9272419627749577,0.7882165605095541,0.5614035087719298,0.6485714285714286,0.7890365448504983
0.5142857142857142,0.7297297297297297,0.72,0.9458544839255499,0.8248407643312102,0.8140350877192982,0.7142857142857143,0.6744186046511628
0.5714285714285714,0.7297297297297297,0.68,0.9238578680203046,0.8136942675159236,0.7964912280701755,0.6428571428571429,0.6926910299003323
0.6285714285714286,0.8108108108108109,0.72,0.934010152284264,0.8312101910828026,0.5894736842105263,0.6942857142857143,0.7159468438538206
0.6,0.7027027027027027,0.76,0.9424703891708968,0.7866242038216561,0.6,0.7028571428571428,0.7790697674418605
0.6857142857142857,0.7027027027027027,0.72,0.9390862944162437,0.8328025477707006,0.5649122807017544,0.7114285714285714,0.7691029900332226
0.6,0.7837837837837838,0.7,0.9441624365482234,0.8136942675159236,0.6105263157894737,0.7171428571428572,0.7641196013289037
0.6857142857142857,0.7027027027027027,0.68,0.9390862944162437,0.8296178343949044,0.5824561403508772,0.7057142857142857,0.7574750830564784
0.6,0.7567567567567568,0.72,0.9424703891708968,0.785031847133758,0.5929824561403508,0.7,0.7475083056478405
0.6571428571428571,0.7837837837837838,0.64,0.9475465313028765,0.8168789808917197,0.5964912280701754,0.7285714285714285,0.7275747508305648
0.6,0.6756756756756757,0.7,0.949238578680203,0.7866242038216561,0.5929824561403508,0.7285714285714285,0.6843853820598007
0.6857142857142857,0.8108108108108109,0.66,0.9475465313028765,0.8009554140127388,0.5508771929824562,0.7142857142857143,0.7026578073089701
0.6285714285714286,0.7297297297297297,0.66,0.949238578680203,0.7914012738853503,0.5789473684210527,0.7057142857142857,0.7973421926910299
0.6571428571428571,0.7027027027027027,0.68,0.9052453468697124,0.8328025477707006,0.5228070175438596,0.6457142857142857,0.6495016611295681
0.6285714285714286,0.8378378378378378,0.7,0.934010152284264,0.8407643312101911,0.5929824561403508,0.7342857142857143,0.7691029900332226
0.6857142857142857,0.8378378378378378,0.68,0.9390862944162437,0.856687898089172,0.6631578947368421,0.7685714285714286,0.760797342192691
0.6857142857142857,0.8648648648648649,0.7,0.9357021996615905,0.8471337579617835,0.8701754385964913,0.7285714285714285,0.7657807308970099
0.7714285714285715,0.8648648648648649,0.68,0.9543147208121827,0.8343949044585988,0.5789473684210527,0.7571428571428571,0.8023255813953488
0.6857142857142857,0.8378378378378378,0.68,0.937394247038917,0.839171974522293,0.5894736842105263,0.7514285714285714,0.7624584717607974
0.7428571428571429,0.8108108108108109,0.7,0.9509306260575296,0.8519108280254777,0.6,0.7228571428571429,0.7956810631229236
0.7428571428571429,0.918918918918919,0.68,0.937394247038917,0.8487261146496815,0.6070175438596491,0.7342857142857143,0.7740863787375415
0.6857142857142857,0.8648648648648649,0.72,0.9458544839255499,0.8630573248407644,0.6140350877192983,0.7371428571428571,0.760797342192691
0.6857142857142857,0.8918918918918919,0.76,0.9475465313028765,0.8471337579617835,0.6105263157894737,0.7457142857142857,0.7906976744186046
0.7142857142857143,0.8378378378378378,0.76,0.9509306260575296,0.8550955414012739,0.5894736842105263,0.7428571428571429,0.7956810631229236
0.7142857142857143,0.8108108108108109,0.74,0.9560067681895094,0.8678343949044586,0.6175438596491228,0.7285714285714285,0.7857142857142857
0.7142857142857143,0.918918918918919,0.74,0.9627749576988156,0.8455414012738853,0.6,0.7657142857142857,0.7840531561461794
0.6571428571428571,0.8378378378378378,0.68,0.9593908629441624,0.8853503184713376,0.6035087719298246,0.7828571428571428,0.7790697674418605
